feature,count0@False,count1@False,count0@True,count1@True
sae,7120,4,2298,0
ucla,7120,4,2298,0
interpolate,7120,4,2295,3
lan,7120,4,2297,1
meteor,7120,4,2298,0
merit,7120,4,2298,0
subtraction,7120,4,2297,1
actuated,7120,4,2297,1
british,7120,4,2298,0
kripke,7120,4,2298,0
mastering,7120,4,2298,0
adas,7120,4,2298,0
transit,7120,4,2298,0
hypernym,7120,4,2295,3
lambek,7120,4,2298,0
bypassing,7120,4,2297,1
transmit,7120,4,2297,1
cargo,7120,4,2298,0
byproduct,7120,4,2295,3
hyperplanes,7120,4,2298,0
survive,7120,4,2298,0
sixteen,7120,4,2298,0
reflection,7120,4,2298,0
refutation,7120,4,2298,0
ubiquity,7120,4,2297,1
master,7120,4,2296,2
bypasses,7120,4,2295,3
propensity,7120,4,2297,1
dcn,7120,4,2296,2
uavs,7120,4,2298,0
moved,7120,4,2297,1
reconfigured,7120,4,2298,0
enron,7120,4,2297,1
masses,7120,4,2297,1
adaptability,7120,4,2296,2
equipping,7120,4,2298,0
mouth,7120,4,2298,0
mouse,7120,4,2298,0
correlating,7120,4,2297,1
nips,7120,4,2296,2
sumo,7120,4,2298,0
ride,7120,4,2298,0
revolutionized,7120,4,2298,0
thereafter,7120,4,2298,0
therapy,7120,4,2298,0
occupied,7120,4,2298,0
implying,7120,4,2296,2
criticism,7120,4,2298,0
cf,7120,4,2294,4
affords,7120,4,2298,0
lengthy,7120,4,2296,2
productions,7120,4,2296,2
progresses,7120,4,2296,2
simon,7120,4,2298,0
corenlp,7120,4,2298,0
suppress,7120,4,2295,3
homophily,7120,4,2297,1
moral,7120,4,2297,1
chunks,7120,4,2294,4
sorts,7120,4,2297,1
careerbuilder,7120,4,2298,0
singularity,7120,4,2298,0
laid,7120,4,2298,0
breaks,7120,4,2295,3
speculate,7120,4,2298,0
internally,7120,4,2295,3
adults,7120,4,2297,1
moderately,7120,4,2294,4
supplier,7120,4,2298,0
infant,7120,4,2298,0
angular,7120,4,2297,1
backdoors,7120,4,2298,0
authenticity,7120,4,2298,0
crimes,7120,4,2298,0
emotionally,7120,4,2297,1
distributive,7120,4,2298,0
cursive,7120,4,2298,0
imported,7120,4,2298,0
critiquing,7120,4,2298,0
talker,7120,4,2298,0
ros,7120,4,2298,0
th,7120,4,2295,3
cbow,7120,4,2297,1
cer,7120,4,2298,0
subjected,7120,4,2298,0
impression,7120,4,2296,2
anfis,7120,4,2298,0
textures,7120,4,2297,1
subgroup,7120,4,2298,0
infrequent,7120,4,2296,2
angles,7120,4,2297,1
certification,7120,4,2298,0
criminals,7120,4,2298,0
cg,7120,4,2298,0
tailor,7120,4,2296,2
slope,7120,4,2297,1
slt,7120,4,2298,0
summing,7120,4,2295,3
educators,7120,4,2298,0
appraisal,7120,4,2298,0
tricks,7120,4,2295,3
interconnection,7120,4,2298,0
eg,7120,4,2297,1
disk,7120,4,2297,1
degenerate,7120,4,2290,8
runtimes,7120,4,2297,1
korean,7120,4,2295,3
reversing,7120,4,2296,2
http,7120,4,2297,1
adrs,7120,4,2298,0
dcase,7120,4,2298,0
assembled,7120,4,2298,0
bros,7120,4,2297,1
interfere,7120,4,2297,1
asserted,7120,4,2298,0
admissions,7120,4,2298,0
ttp,7120,4,2298,0
admission,7120,4,2297,1
ob,7120,4,2298,0
simulators,7120,4,2297,1
adjustable,7120,4,2298,0
interdisciplinary,7120,4,2297,1
dawid,7120,4,2295,3
jargon,7120,4,2297,1
davis,7120,4,2298,0
adept,7120,4,2296,2
recur,7120,4,2298,0
prioritizing,7120,4,2297,1
datapoints,7120,4,2295,3
ee,7120,4,2298,0
coq,7120,4,2298,0
editions,7120,4,2298,0
declare,7120,4,2297,1
copyright,7120,4,2298,0
enumerated,7120,4,2298,0
matroid,7120,4,2298,0
circumstance,7120,4,2298,0
humanity,7120,4,2298,0
equalities,7120,4,2298,0
entitled,7120,4,2298,0
tremendously,7120,4,2298,0
silver,7120,4,2298,0
simd,7120,4,2298,0
corpuses,7120,4,2298,0
priorities,7120,4,2298,0
additivity,7120,4,2298,0
matchings,7120,4,2293,5
triangle,7120,4,2296,2
advertisements,7120,4,2294,4
referents,7120,4,2298,0
prioritize,7120,4,2296,2
triangulated,7120,4,2298,0
capitalization,7120,4,2298,0
trick,7120,4,2292,6
ntl,7120,4,2298,0
airport,7120,4,2298,0
researcher,7120,4,2298,0
substantiated,7120,4,2298,0
preprocessed,7120,4,2296,2
retinal,7120,4,2297,1
lod,7120,4,2298,0
achievement,7120,4,2297,1
underlies,7120,4,2297,1
underline,7120,4,2295,3
110,7120,4,2296,2
convenience,7120,4,2297,1
pillars,7120,4,2298,0
etd,7120,4,2297,1
paraphrasing,7120,4,2295,3
resistance,7120,4,2298,0
digitization,7120,4,2297,1
clock,7120,4,2296,2
sided,7120,4,2296,2
ds,7120,4,2297,1
kdd,7120,4,2297,1
accompany,7120,4,2297,1
reset,7120,4,2295,3
microarray,7120,4,2297,1
gis,7120,4,2298,0
sport,7120,4,2297,1
reservoirs,7120,4,2298,0
accommodating,7120,4,2298,0
accommodates,7120,4,2298,0
unaligned,7120,4,2297,1
accommodated,7120,4,2298,0
sigmoid,7120,4,2289,9
uml,7120,4,2298,0
unambiguous,7120,4,2295,3
particularity,7120,4,2298,0
physiology,7120,4,2297,1
flip,7120,4,2297,1
001,7120,4,2297,1
wanted,7120,4,2298,0
war,7120,4,2297,1
discriminability,7120,4,2295,3
activated,7120,4,2297,1
hiring,7120,4,2298,0
uk,7120,4,2298,0
esa,7120,4,2298,0
hint,7120,4,2298,0
wang,7120,4,2296,2
acronyms,7120,4,2298,0
dpn,7120,4,2298,0
repetitions,7120,4,2298,0
zones,7120,4,2298,0
acquires,7120,4,2294,4
dstc,7120,4,2298,0
deepening,7120,4,2298,0
acoustically,7120,4,2298,0
retained,7120,4,2293,5
mistaken,7120,4,2298,0
geospatial,7120,4,2298,0
particularities,7120,4,2298,0
blum,7120,4,2297,1
pathology,7120,4,2298,0
marks,7120,4,2295,3
conceptnet,7120,4,2297,1
piecemeal,7120,4,2298,0
fabric,7120,4,2298,0
mi,7120,4,2297,1
mario,7120,4,2297,1
fractional,7120,4,2295,3
overlaps,7120,4,2296,2
competence,7120,4,2296,2
bird,7120,4,2297,1
cone,7120,4,2297,1
groundtruth,7120,4,2297,1
sharper,7120,4,2295,3
sbvr,7120,4,2298,0
cocktail,7120,4,2298,0
sd,7120,4,2298,0
valleys,7120,4,2298,0
downloadable,7120,4,2298,0
biasing,7120,4,2298,0
grounder,7120,4,2298,0
requesting,7120,4,2297,1
lr,7120,4,2294,4
favorite,7120,4,2296,2
gross,7120,4,2297,1
disaggregation,7120,4,2296,2
grocery,7120,4,2298,0
undergo,7120,4,2298,0
forall,7120,4,2298,0
vtt,7120,4,2297,1
speeches,7120,4,2297,1
dpll,7120,4,2298,0
understudied,7120,4,2297,1
undergone,7120,4,2298,0
undergoing,7120,4,2298,0
pignistic,7120,4,2298,0
prepositional,7120,4,2296,2
focal,7120,4,2297,1
defenses,7120,4,2297,1
conventionally,7120,4,2296,2
focs,7120,4,2298,0
resurgence,7120,4,2297,1
bsp,7120,4,2298,0
focussing,7120,4,2298,0
establishment,7120,4,2298,0
combinational,7120,4,2298,0
commentary,7120,4,2297,1
passenger,7120,4,2297,1
flag,7120,4,2296,2
undecidability,7120,4,2298,0
hereby,7120,4,2298,0
resume,7120,4,2297,1
commenting,7120,4,2298,0
marriage,7120,4,2298,0
assists,7120,4,2297,1
spoofing,7120,4,2298,0
accountability,7120,4,2298,0
permissive,7120,4,2298,0
fm,7120,4,2296,2
acid,7120,4,2296,2
contextually,7120,4,2295,3
biometrics,7120,4,2297,1
steepest,7120,4,2296,2
conceptualization,7120,4,2298,0
mismatches,7120,4,2297,1
fovea,7120,4,2296,2
spm,7120,4,2298,0
stepsize,7120,4,2298,0
cleverly,7120,4,2298,0
atps,7120,4,2298,0
formant,7120,4,2298,0
dictated,7120,4,2297,1
150,7120,4,2297,1
spots,7120,4,2298,0
overheads,7120,4,2297,1
debt,7120,4,2298,0
unintended,7120,4,2298,0
overflow,7120,4,2298,0
hat,7120,4,2297,1
finely,7120,4,2297,1
blocked,7120,4,2298,0
everyone,7120,4,2297,1
evidenced,7120,4,2296,2
comprehend,7120,4,2296,2
finetuning,7120,4,2298,0
comprise,7120,4,2296,2
unity,7120,4,2298,0
forensics,7120,4,2298,0
deformation,7120,4,2297,1
diagnose,7120,4,2295,3
stemmer,7120,4,2298,0
representable,7120,4,2298,0
pivoting,7120,4,2298,0
paving,7120,4,2297,1
300,7120,4,2298,0
paying,7120,4,2294,4
volunteer,7120,4,2298,0
kbp,7120,4,2296,2
2x,7120,4,2293,5
fourteen,7120,4,2298,0
voters,7120,4,2295,3
shrinking,7120,4,2296,2
pioneering,7120,4,2298,0
pave,7120,4,2298,0
pp,7120,4,2296,2
batched,7120,4,2296,2
majorization,7120,4,2296,2
jordan,7120,4,2297,1
voluntarily,7120,4,2298,0
dqns,7120,4,2298,0
stabilizes,7120,4,2298,0
forecaster,7120,4,2296,2
congestive,7120,4,2298,0
unfeasible,7120,4,2298,0
firing,7120,4,2298,0
100s,7120,4,2298,0
univariate,7120,4,2290,8
ppv,7120,4,2298,0
accessibility,7120,4,2297,1
dimensionalities,7120,4,2298,0
clarifies,7120,4,2296,2
factorial,7120,4,2295,3
dollars,7120,4,2297,1
biologists,7120,4,2298,0
london,7120,4,2298,0
hide,7120,4,2297,1
geographically,7120,4,2298,0
scientist,7120,4,2298,0
prescriptive,7120,4,2298,0
resiliency,7120,4,2298,0
dsl,7120,4,2298,0
unanimity,7120,4,2297,1
seriously,7120,4,2298,0
flawed,7120,4,2296,2
hi,7120,4,2298,0
misspellings,7120,4,2298,0
clas,7120,4,2298,0
clasp,7120,4,2298,0
hex,7120,4,2297,1
john,7120,4,2298,0
longstanding,7120,4,2297,1
3x,7120,4,2298,0
sponsored,7120,4,2295,3
footnote,7120,4,2295,3
lying,7120,4,2296,2
accesses,7120,4,2295,3
conp,7120,4,2298,0
spotlight,7120,4,2298,0
phishing,7120,4,2298,0
drops,7120,4,2294,4
desires,7120,4,2297,1
finger,7120,4,2297,1
colored,7120,4,2297,1
payments,7120,4,2298,0
evenly,7120,4,2296,2
fingerprints,7120,4,2297,1
weakest,7120,4,2298,0
formalise,7120,4,2296,2
stem,7120,4,2298,0
colorectal,7120,4,2298,0
contradict,7120,4,2298,0
unigram,7120,4,2296,2
unification,7120,4,2294,4
disclose,7120,4,2298,0
dp,7120,4,2289,9
baxter,7120,4,2298,0
unimodal,7120,4,2295,3
parameterize,7120,4,2297,1
behavioural,7120,4,2298,0
climate,7120,4,2295,3
disclosure,7120,4,2298,0
forthcoming,7120,4,2298,0
continual,7120,4,2293,5
flights,7120,4,2298,0
formalizing,7120,4,2298,0
deteriorate,7120,4,2296,2
defeat,7120,4,2298,0
coined,7120,4,2297,1
pixelwise,7120,4,2297,1
paraconsistent,7120,4,2298,0
complications,7120,4,2297,1
pearson,7120,4,2297,1
spreadsheets,7120,4,2298,0
confronted,7120,4,2297,1
stacks,7120,4,2291,7
oversampling,7120,4,2298,0
biclustering,7120,4,2298,0
pharmaceutical,7120,4,2298,0
fp,7120,4,2298,0
statuses,7120,4,2298,0
conditionally,7120,4,2291,7
spending,7120,4,2298,0
halfspaces,7120,4,2296,2
cmc,7120,4,2298,0
listened,7120,4,2298,0
exclude,7120,4,2298,0
pf,7120,4,2298,0
habits,7120,4,2298,0
operationalization,7120,4,2298,0
astronomy,7120,4,2296,2
competitor,7120,4,2297,1
phd,7120,4,2298,0
perceives,7120,4,2298,0
fr,7120,4,2298,0
harnessing,7120,4,2297,1
unsolved,7120,4,2294,4
discarding,7120,4,2296,2
unsuccessful,7120,4,2298,0
gb,7120,4,2298,0
penalizing,7120,4,2294,4
spend,7120,4,2297,1
selections,7120,4,2298,0
satisficing,7120,4,2298,0
liquid,7120,4,2298,0
openly,7120,4,2297,1
milp,7120,4,2297,1
4th,7120,4,2298,0
extensibility,7120,4,2297,1
shortcut,7120,4,2297,1
unmeasured,7120,4,2298,0
18th,7120,4,2298,0
film,7120,4,2296,2
voltage,7120,4,2298,0
unnatural,7120,4,2297,1
searchers,7120,4,2298,0
shop,7120,4,2298,0
dozens,7120,4,2297,1
worn,7120,4,2298,0
searcher,7120,4,2298,0
blended,7120,4,2297,1
harnessed,7120,4,2298,0
dfs,7120,4,2298,0
perceiving,7120,4,2298,0
golden,7120,4,2298,0
condorcet,7120,4,2293,5
_1,7120,4,2296,2
compiler,7120,4,2297,1
penta,7120,4,2298,0
exchanging,7120,4,2298,0
wmt16,7120,4,2296,2
visuo,7120,4,2298,0
conformant,7120,4,2297,1
unveil,7120,4,2298,0
fi,7120,4,2296,2
conformal,7120,4,2298,0
peoples,7120,4,2298,0
woman,7120,4,2298,0
vlsi,7120,4,2298,0
edits,7120,4,2294,4
occupation,7120,4,2298,0
initiated,7120,4,2296,2
initiation,7120,4,2298,0
charge,7120,4,2297,1
relieve,7120,4,2297,1
mcss,7120,4,2298,0
born,7120,4,2297,1
cox,7120,4,2298,0
backup,7120,4,2296,2
bear,7120,4,2298,0
discard,7120,4,2296,2
judiciously,7120,4,2298,0
marathi,7120,4,2298,0
discarded,7120,4,2296,2
cmu,7120,4,2298,0
1m,7120,4,2296,2
ssa,7120,4,2298,0
upload,7120,4,2298,0
resolvers,7120,4,2295,3
pooled,7120,4,2297,1
responding,7120,4,2296,2
frontiers,7120,4,2297,1
percepts,7120,4,2296,2
opinionated,7120,4,2298,0
saves,7120,4,2297,1
1st,7120,4,2298,0
friend,7120,4,2298,0
paintings,7120,4,2298,0
selector,7120,4,2295,3
lisp,7120,4,2296,2
1989,7120,4,2297,1
complementarity,7120,4,2298,0
clusterable,7120,4,2298,0
bbc,7120,4,2298,0
overtime,7120,4,2298,0
openness,7120,4,2298,0
1991,7120,4,2298,0
hamiltonian,7120,4,2294,4
excels,7120,4,2297,1
mimicking,7120,4,2296,2
retweets,7120,4,2297,1
cm,7120,4,2298,0
containment,7120,4,2298,0
fulfills,7120,4,2297,1
grus,7120,4,2294,4
bees,7120,4,2298,0
manufacturer,7120,4,2298,0
existed,7120,4,2298,0
requisite,7120,4,2298,0
directs,7120,4,2298,0
favourably,7120,4,2296,2
whatever,7120,4,2298,0
organisation,7120,4,2298,0
600,7120,4,2297,1
export,7120,4,2298,0
consistencies,7120,4,2298,0
plugin,7120,4,2298,0
selling,7120,4,2297,1
organisations,7120,4,2298,0
plugged,7120,4,2296,2
organise,7120,4,2298,0
organising,7120,4,2298,0
21578,7120,4,2297,1
gq,7120,4,2298,0
plsa,7120,4,2298,0
sphere,7120,4,2297,1
justifying,7120,4,2298,0
sgns,7120,4,2296,2
visit,7120,4,2297,1
coalitions,7120,4,2297,1
requester,7120,4,2298,0
poisson,7120,4,2289,9
abbreviations,7120,4,2297,1
spin,7120,4,2298,0
codewords,7120,4,2296,2
greek,7120,4,2298,0
scala,7120,4,2298,0
west,7120,4,2298,0
liver,7120,4,2298,0
competency,7120,4,2298,0
wisdom,7120,4,2295,3
bf,7120,4,2296,2
fuel,7120,4,2297,1
guideline,7120,4,2298,0
detectable,7120,4,2298,0
visitors,7120,4,2298,0
gui,7120,4,2298,0
guess,7120,4,2296,2
constructors,7120,4,2298,0
requested,7120,4,2298,0
buckets,7120,4,2296,2
useless,7120,4,2296,2
utilise,7120,4,2295,3
literatures,7120,4,2298,0
utilises,7120,4,2298,0
favored,7120,4,2296,2
deepmind,7120,4,2295,3
resampled,7120,4,2298,0
reusability,7120,4,2298,0
vggnet,7120,4,2297,1
bears,7120,4,2297,1
originates,7120,4,2298,0
20k,7120,4,2297,1
cognate,7120,4,2298,0
graphic,7120,4,2298,0
beating,7120,4,2297,1
beautiful,7120,4,2297,1
pm,7120,4,2298,0
selfish,7120,4,2298,0
fruit,7120,4,2297,1
blackwell,7120,4,2297,1
polytrees,7120,4,2297,1
discerning,7120,4,2298,0
ablation,7120,4,2297,1
peg,7120,4,2298,0
happened,7120,4,2296,2
kernelized,7120,4,2294,4
stays,7120,4,2296,2
kgs,7120,4,2297,1
plagiarism,7120,4,2298,0
completes,7120,4,2298,0
spss,7120,4,2298,0
retrained,7120,4,2297,1
shachter,7120,4,2298,0
staying,7120,4,2297,1
deductively,7120,4,2298,0
governs,7120,4,2298,0
concurrency,7120,4,2297,1
disadvantage,7120,4,2296,2
scatter,7120,4,2298,0
keyphrase,7120,4,2296,2
velocities,7120,4,2298,0
vessels,7120,4,2298,0
fear,7120,4,2298,0
coin,7120,4,2298,0
grail,7120,4,2298,0
manhattan,7120,4,2297,1
birth,7120,4,2298,0
originated,7120,4,2298,0
compensates,7120,4,2298,0
governance,7120,4,2298,0
deterioration,7120,4,2298,0
wiki,7120,4,2298,0
whom,7120,4,2296,2
vectorized,7120,4,2297,1
differentiability,7120,4,2296,2
violate,7120,4,2295,3
widetilde,7120,4,2296,2
feeding,7120,4,2298,0
vectorial,7120,4,2295,3
drifts,7120,4,2297,1
microphones,7120,4,2298,0
grayscale,7120,4,2298,0
audit,7120,4,2298,0
poem,7120,4,2297,1
tsplib,7121,3,2298,0
tum,7121,3,2298,0
prognostic,7121,3,2297,1
productively,7121,3,2298,0
administration,7121,3,2298,0
administrator,7121,3,2298,0
administrators,7121,3,2298,0
truthfulness,7121,3,2298,0
adverbs,7121,3,2298,0
prohibitions,7121,3,2298,0
trivially,7121,3,2295,3
triplets,7121,3,2296,2
prohibits,7121,3,2298,0
tripadvisor,7121,3,2298,0
prof,7121,3,2298,0
summation,7121,3,2297,1
trigram,7121,3,2297,1
triggering,7121,3,2298,0
church,7121,3,2298,0
summarizers,7121,3,2298,0
bullying,7121,3,2298,0
builder,7121,3,2298,0
semantico,7121,3,2298,0
sem,7121,3,2297,1
sellers,7121,3,2298,0
budgets,7121,3,2296,2
ukasiewicz,7121,3,2298,0
believable,7121,3,2298,0
setof,7121,3,2298,0
sharply,7121,3,2297,1
reranking,7121,3,2289,9
summarizer,7121,3,2297,1
sheffield,7121,3,2298,0
bundle,7121,3,2297,1
rescore,7121,3,2297,1
shapelet,7121,3,2298,0
behalf,7121,3,2295,3
shadow,7121,3,2298,0
bulk,7121,3,2298,0
bulgarian,7121,3,2298,0
resides,7121,3,2297,1
residuals,7121,3,2295,3
bdd,7121,3,2298,0
tumour,7121,3,2298,0
tract,7121,3,2298,0
privately,7121,3,2297,1
ages,7121,3,2298,0
tptp,7121,3,2298,0
tpr,7121,3,2297,1
protege,7121,3,2298,0
chicago,7121,3,2298,0
tough,7121,3,2298,0
aggregators,7121,3,2298,0
affixes,7121,3,2298,0
transliterations,7121,3,2298,0
trans,7121,3,2295,3
transmits,7121,3,2298,0
prominently,7121,3,2298,0
aesthetic,7121,3,2295,3
traverses,7121,3,2298,0
traverse,7121,3,2296,2
promotion,7121,3,2297,1
bfgs,7121,3,2296,2
promotions,7121,3,2298,0
travelers,7121,3,2298,0
transported,7121,3,2298,0
prompted,7121,3,2296,2
prisoner,7121,3,2298,0
transactional,7121,3,2298,0
transformer,7121,3,2297,1
acted,7121,3,2298,0
activate,7121,3,2298,0
acute,7121,3,2298,0
ubuntu,7121,3,2295,3
circular,7121,3,2296,2
typological,7121,3,2294,4
typicality,7121,3,2298,0
procedurally,7121,3,2298,0
proceeding,7121,3,2298,0
transcript,7121,3,2297,1
additively,7121,3,2298,0
tures,7121,3,2298,0
procurement,7121,3,2298,0
advertisers,7121,3,2295,3
advocating,7121,3,2298,0
prominence,7121,3,2295,3
trecvid,7121,3,2297,1
choquet,7121,3,2298,0
proportionality,7121,3,2298,0
afforded,7121,3,2296,2
addressable,7121,3,2297,1
semisupervised,7121,3,2295,3
blurry,7121,3,2298,0
senone,7121,3,2298,0
bo,7121,3,2295,3
bnns,7121,3,2298,0
sandhi,7121,3,2298,0
brazil,7121,3,2298,0
blank,7121,3,2297,1
river,7121,3,2297,1
blends,7121,3,2297,1
sandhis,7121,3,2298,0
braking,7121,3,2298,0
blogging,7121,3,2297,1
bptt,7121,3,2297,1
bloom,7121,3,2298,0
rm,7121,3,2297,1
sale,7121,3,2297,1
rnnlm,7121,3,2298,0
s5,7121,3,2298,0
bsds,7121,3,2298,0
retailers,7121,3,2298,0
skew,7121,3,2298,0
roadmap,7121,3,2298,0
ross,7121,3,2297,1
roughness,7121,3,2298,0
rooms,7121,3,2297,1
secrets,7121,3,2298,0
traveler,7121,3,2298,0
reversal,7121,3,2298,0
seasons,7121,3,2298,0
rightarrow,7121,3,2295,3
scanners,7121,3,2298,0
sbcns,7121,3,2298,0
saying,7121,3,2298,0
rumors,7121,3,2298,0
signed,7121,3,2296,2
bpe,7121,3,2298,0
rul,7121,3,2298,0
bonus,7121,3,2295,3
boyen,7121,3,2298,0
rte,7121,3,2297,1
boom,7121,3,2298,0
rss,7121,3,2298,0
rs,7121,3,2298,0
borrow,7121,3,2295,3
borrowing,7121,3,2297,1
bpa,7121,3,2298,0
sender,7121,3,2298,0
signaling,7121,3,2296,2
bv,7121,3,2298,0
banking,7121,3,2298,0
simplistic,7121,3,2296,2
simplifications,7121,3,2295,3
repairing,7121,3,2298,0
similes,7121,3,2298,0
bytes,7121,3,2297,1
bytenet,7121,3,2298,0
reprogramming,7121,3,2298,0
shooting,7121,3,2297,1
bc,7121,3,2298,0
burgeoning,7121,3,2297,1
sequent,7121,3,2298,0
respectable,7121,3,2297,1
separator,7121,3,2295,3
responded,7121,3,2298,0
sentiwordnet,7121,3,2297,1
responds,7121,3,2297,1
responsibilities,7121,3,2298,0
bengio,7121,3,2294,4
singer,7121,3,2298,0
singing,7121,3,2298,0
bang,7121,3,2297,1
sixth,7121,3,2298,0
si,7121,3,2298,0
batching,7121,3,2297,1
replication,7121,3,2298,0
replies,7121,3,2297,1
button,7121,3,2298,0
shrinks,7121,3,2297,1
battlefield,7121,3,2298,0
representa,7121,3,2298,0
shortly,7121,3,2298,0
basin,7121,3,2298,0
shorten,7121,3,2298,0
shortage,7121,3,2298,0
repetitively,7121,3,2298,0
signer,7121,3,2298,0
sell,7121,3,2298,0
signifies,7121,3,2298,0
sketching,7121,3,2294,4
skeptical,7121,3,2298,0
renal,7121,3,2298,0
sizing,7121,3,2298,0
shortcuts,7121,3,2298,0
prompts,7121,3,2298,0
quantifiable,7121,3,2298,0
chose,7121,3,2296,2
radiation,7121,3,2298,0
surfacing,7121,3,2298,0
applicants,7121,3,2297,1
supportive,7121,3,2298,0
supplies,7121,3,2298,0
supplemented,7121,3,2298,0
suppes,7121,3,2298,0
supervisory,7121,3,2298,0
supertagging,7121,3,2297,1
approachability,7121,3,2298,0
superset,7121,3,2298,0
superposition,7121,3,2293,5
sup,7121,3,2298,0
apriori,7121,3,2297,1
ral,7121,3,2298,0
surgical,7121,3,2298,0
applause,7121,3,2298,0
surplus,7121,3,2297,1
racing,7121,3,2297,1
aos,7121,3,2298,0
swes,7121,3,2298,0
anywhere,7121,3,2298,0
anything,7121,3,2298,0
anticipating,7121,3,2298,0
syllabic,7121,3,2298,0
anps,7121,3,2298,0
centres,7121,3,2298,0
ancestral,7121,3,2296,2
quantize,7121,3,2297,1
quad,7121,3,2298,0
tang,7121,3,2298,0
anger,7121,3,2298,0
sw,7121,3,2298,0
talent,7121,3,2298,0
tagset,7121,3,2298,0
cerebral,7121,3,2298,0
tacit,7121,3,2298,0
announced,7121,3,2297,1
tabula,7121,3,2298,0
announcements,7121,3,2298,0
tablets,7121,3,2298,0
quantiles,7121,3,2298,0
tableau,7121,3,2298,0
tailed,7121,3,2294,4
symptom,7121,3,2298,0
ape,7121,3,2298,0
svdd,7121,3,2298,0
alterations,7121,3,2298,0
pulls,7121,3,2296,2
characterises,7121,3,2298,0
tfidf,7121,3,2297,1
alters,7121,3,2298,0
tikhonov,7121,3,2298,0
timelines,7121,3,2297,1
ancestor,7121,3,2298,0
timeml,7121,3,2298,0
topographic,7121,3,2298,0
provisioning,7121,3,2298,0
tolerable,7121,3,2297,1
prunes,7121,3,2297,1
toefl,7121,3,2298,0
todays,7121,3,2298,0
aixi,7121,3,2297,1
tip,7121,3,2298,0
tinelli,7121,3,2298,0
securities,7121,3,2298,0
alphago,7121,3,2298,0
characterising,7121,3,2297,1
therapeutic,7121,3,2298,0
thermal,7121,3,2298,0
apparatus,7121,3,2298,0
sustainability,7121,3,2297,1
racist,7121,3,2298,0
surprisal,7121,3,2298,0
suspension,7121,3,2298,0
appearances,7121,3,2298,0
suspected,7121,3,2297,1
cds,7121,3,2298,0
surroundings,7121,3,2298,0
apertium,7121,3,2298,0
surrogates,7121,3,2292,6
ancestors,7121,3,2297,1
tossing,7121,3,2298,0
alerted,7121,3,2298,0
algo,7121,3,2297,1
algorithmically,7121,3,2292,6
ticket,7121,3,2298,0
psychomotor,7121,3,2298,0
alleviated,7121,3,2297,1
thesauri,7121,3,2298,0
anchored,7121,3,2296,2
traveled,7121,3,2298,0
quo,7121,3,2298,0
synchronously,7121,3,2298,0
practitioner,7121,3,2297,1
unsatisfiable,7121,3,2298,0
unsafe,7121,3,2295,3
unrolling,7121,3,2297,1
unreliability,7121,3,2298,0
abox,7121,3,2297,1
unordered,7121,3,2297,1
unoptimized,7121,3,2298,0
unobtrusively,7121,3,2298,0
clip,7121,3,2298,0
clinton,7121,3,2298,0
pps,7121,3,2298,0
pr2,7121,3,2297,1
unnormalized,7121,3,2294,4
clinician,7121,3,2298,0
practicable,7121,3,2297,1
une,7121,3,2298,0
undoubtedly,7121,3,2298,0
prefix,7121,3,2296,2
printing,7121,3,2298,0
absorption,7121,3,2298,0
unknowns,7121,3,2297,1
unethical,7121,3,2298,0
proofreading,7121,3,2298,0
transpose,7121,3,2298,0
circumventing,7121,3,2297,1
ullman,7121,3,2298,0
aggression,7121,3,2298,0
unleash,7121,3,2298,0
abusive,7121,3,2298,0
preceded,7121,3,2298,0
acausal,7121,3,2298,0
undetected,7121,3,2298,0
unite,7121,3,2298,0
clever,7121,3,2297,1
uninformative,7121,3,2297,1
accelerators,7121,3,2298,0
predecessors,7121,3,2296,2
unfortunate,7121,3,2297,1
cleanly,7121,3,2298,0
acceptability,7121,3,2298,0
unfolded,7121,3,2295,3
predominantly,7121,3,2297,1
unions,7121,3,2298,0
quiz,7121,3,2297,1
unconscious,7121,3,2298,0
unaware,7121,3,2297,1
underlined,7121,3,2298,0
clarifying,7121,3,2298,0
clarified,7121,3,2298,0
accumulates,7121,3,2297,1
uncountable,7121,3,2297,1
unconventional,7121,3,2297,1
prototyping,7121,3,2296,2
touch,7121,3,2297,1
sun,7121,3,2297,1
anp,7121,3,2298,0
systemic,7121,3,2298,0
sys,7121,3,2298,0
cent,7121,3,2298,0
synergistically,7121,3,2298,0
synergistic,7121,3,2298,0
questioned,7121,3,2298,0
synergies,7121,3,2298,0
census,7121,3,2297,1
synergic,7121,3,2298,0
claiming,7121,3,2298,0
underperform,7121,3,2296,2
underpinnings,7121,3,2298,0
underscore,7121,3,2298,0
unappealing,7121,3,2298,0
unanswered,7121,3,2298,0
unanimous,7121,3,2298,0
civil,7121,3,2298,0
cityscapes,7121,3,2298,0
citizen,7121,3,2298,0
citing,7121,3,2297,1
acoustics,7121,3,2298,0
citep,7121,3,2297,1
unconditional,7121,3,2294,4
ultrametric,7121,3,2298,0
ultra,7121,3,2298,0
presumed,7121,3,2298,0
presumably,7121,3,2298,0
pressured,7121,3,2298,0
underpinning,7121,3,2298,0
premature,7121,3,2298,0
prepositions,7121,3,2298,0
understandability,7121,3,2298,0
underspecified,7121,3,2298,0
printed,7121,3,2297,1
bidders,7121,3,2297,1
phonetics,7121,3,2297,1
sees,7121,3,2298,0
wear,7121,3,2298,0
ph,7121,3,2298,0
vapnik,7121,3,2297,1
pools,7121,3,2298,0
